Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro)
Peugeot,3008,0.94,Crossover,0.14499914499914499,0.2708333333333333,Diesel,Automatic,0.1662324649298597
Renault,Kadjar,0.9,Crossover,0.1501991501991502,0.2708333333333333,Diesel,Automatic,0.13276553106212424
Lexus,NX Series,0.88,SUV,0.148999148999149,0.4791666666666667,Hybrid,Automatic,0.2159318637274549
Volkswagen,Passat,0.7,Sedan,0.215999215999216,0.375,Petrol,Automatic,0.051603206412825654
Infiniti,Q Series,0.9,Crossover,0.087999087999088,0.2708333333333333,Diesel,Automatic,0.1562124248496994
Volkswagen,Passat,0.72,Universal,0.31999931999932,0.2916666666666667,Metan/Propan,Manual,0.0581062124248497
Hyundai,Matrix,0.7,Hatchback,0.297999297999298,0.2708333333333333,Diesel,Manual,0.028046092184368737
Honda,Civic,0.92,Hatchback,0.027137027137027137,0.2708333333333333,Petrol,Automatic,0.1312625250501002
Renault,Kadjar,0.9,Crossover,0.13999913999914,0.2708333333333333,Diesel,Automatic,0.12224448897795591
Skoda,Octavia,0.82,Sedan,0.165999165999166,0.2916666666666667,Diesel,Automatic,0.08807615230460922
Skoda,Superb,0.76,Sedan,0.222999222999223,0.375,Diesel,Automatic,0.08807615230460922
Toyota,Corolla,0.7,Universal,0.19856219856219856,0.25,Diesel,Automatic,0.051603206412825654
Volvo,S80,0.58,Sedan,0.2026972026972027,0.5416666666666666,Petrol,Automatic,0.03806613226452906
Land Rover,Freelander,0.58,SUV,0.22999922999923,0.375,Diesel,Manual,0.02555110220440882
BMW,5 Series,0.94,Sedan,0.081999081999082,0.375,Diesel,Automatic,0.33867735470941884
Volkswagen,Passat,0.48,Universal,0.2503682503682504,0.3333333333333333,Petrol,Manual,0.025050100200400802
KIA,Magentis,0.68,Sedan,0.25063125063125063,0.375,Metan/Propan,Manual,0.024949899799599197
Seat,Inca,0.54,Combi,0.2999992999993,0.3541666666666667,Diesel,Manual,0.012525050100200401
Skoda,Fabia,0.82,Minivan,0.1654991654991655,0.20833333333333334,Diesel,Manual,0.04909819639278557
Mitsubishi,Outlander,0.8,SUV,0.247999247999248,0.375,Petrol,Automatic,0.09719438877755511
Ford,Focus,0.9,Universal,0.16999916999917,0.270625,Diesel,Manual,0.08707414829659318
Renault,Megane,0.74,Universal,0.244999244999245,0.2708333333333333,Diesel,Manual,0.03406813627254509
Honda,Civic,0.56,Universal,0.28999928999929,0.2708333333333333,Petrol,Manual,0.01603206412825651
Hyundai,Tucson,0.86,Crossover,0.11999911999912,0.0,Metan/Propan,Automatic,0.11823647294589178
Renault,Clio Symbol,0.72,Sedan,0.210999210999211,0.25,Petrol,Manual,0.027054108216432865
Audi,A4,0.82,Sedan,0.1666991666991667,0.375,Petrol,Automatic,0.10020040080160321
Audi,A3 e-tron,0.9,Hatchback,0.14499914499914499,0.25,Electric,Automatic,0.1628256513026052
Lexus,CT Series,0.86,Sedan,0.0816990816990817,0.3333333333333333,Hybrid,Automatic,0.12274549098196393
Toyota,Auris,0.84,Universal,0.14286414286414287,0.25,Diesel,Manual,0.08517034068136273
Vaz,2107,0.72,Sedan,0.13586413586413587,0.25,Petrol,Manual,0.013026052104208416
Renault,Grand Scenic,0.84,Minivan,0.180999180999181,0.2708333333333333,Diesel,Automatic,0.06813627254509018
Skoda,Octavia,0.86,Universal,0.154999154999155,0.25,Petrol,Automatic,0.09519038076152304
Skoda,Octavia,0.88,Sedan,0.163999163999164,0.2916666666666667,Diesel,Automatic,0.125751503006012
Volkswagen,Scirocco,0.78,Coupe,0.1505881505881506,0.25,Petrol,Manual,0.07814629258517033
Ford,Focus,0.88,Universal,0.1525221525221525,0.2708333333333333,Diesel,Automatic,0.09118236472945891
Opel,Astra,0.72,Universal,0.18999918999919,0.22916666666666666,Diesel,Manual,0.04307615230460922
Toyota,Avensis,0.86,Universal,0.164999164999165,0.375,Diesel,Manual,0.15430861723446893
BMW,7 Series,0.7,Sedan,0.25999925999926,0.5833333333333334,Diesel,Automatic,0.10821643286573146
Toyota,Auris,0.8,Hatchback,0.18225018225018225,0.3329166666666667,Hybrid,Automatic,0.08016032064128256
Fiat,Grande Punto,0.74,Hatchback,0.184999184999185,0.22916666666666666,Diesel,Automatic,0.03406813627254509
Chevrolet,Aveo,0.82,Hatchback,0.186999186999187,0.22916666666666666,Diesel,Manual,0.04408817635270541
Renault,Megane,0.68,Sedan,0.18999918999919,0.2708333333333333,Diesel,Manual,0.03006012024048096
Suzuki,Grand Vitara,0.68,SUV,0.3999993999994,0.5208333333333334,Petrol,Automatic,0.0531062124248497
Volkswagen,Golf,0.78,Hatchback,0.22554922554922555,0.375,Petrol,Automatic,0.09468937875751503
