Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro)
Audi,A4,0.5200023763873712,Sedan,-0.1509586944636135,0.21844996353229118,Petrol,Automatic,0.0823525438450909
Audi,A3 e-tron,1.0721845460259498,Hatchback,-0.3698707524931229,-0.7660461393613198,Electric,Automatic,0.739076609748303
Lexus,CT Series,0.7960934612066605,Sedan,-1.0084483226898024,-0.10971540409891246,Hybrid,Automatic,0.31877320757024724
Toyota,Auris,0.6580479187970159,Universal,-0.3914088743315101,-0.7660461393613198,Diesel,Manual,-0.07526123197168
Vaz,2107,-0.17022533566085182,Sedan,-0.4620256672442551,-0.7660461393613198,Petrol,Manual,-0.8318073558921804
Renault,Grand Scenic,0.6580479187970159,Minivan,-0.006698674656148788,-0.601963455545718,Diesel,Automatic,-0.2538901778973537
Skoda,Octavia,0.7960934612066605,Universal,-0.26898961976063007,-0.7660461393613198,Petrol,Automatic,0.029814618572833938
Skoda,Octavia,0.9341390036163051,Sedan,-0.17819660030138657,-0.43788077173011614,Diesel,Automatic,0.3502959627336015
Volkswagen,Scirocco,0.24391129156808203,Coupe,-0.31348828740893264,-0.7660461393613198,Petrol,Manual,-0.14891940320338426
Ford,Focus,0.9341390036163051,Universal,-0.29397787633846856,-0.601963455545718,Diesel,Automatic,-0.012215721644971636
Opel,Astra,-0.17022533566085182,Universal,0.08409434480309473,-0.9301288231769216,Diesel,Manual,-0.516684880109183
Toyota,Avensis,0.7960934612066605,Universal,-0.16810848702813727,0.21844996353229118,Diesel,Manual,0.6497621367854661
BMW,7 Series,-0.30827087807049647,Sedan,0.7902622739305444,1.8592768016883094,Diesel,Automatic,0.16641322428070204
Toyota,Auris,0.3819568339777266,Hatchback,0.0059215550486860615,-0.11299705777522451,Hybrid,Automatic,-0.12779915724393698
Fiat,Grande Punto,-0.03217979325120721,Hatchback,0.03365377843684833,-0.9301288231769216,Diesel,Automatic,-0.6111480697487011
Chevrolet,Aveo,0.5200023763873712,Hatchback,0.0538300049833469,-0.9301288231769216,Diesel,Manual,-0.5060722192041871
Renault,Megane,-0.4463164204801411,Sedan,0.08409434480309473,-0.601963455545718,Diesel,Manual,-0.6531784099665067
Suzuki,Grand Vitara,-0.4463164204801411,SUV,2.2025981321854435,1.367028750241504,Petrol,Automatic,-0.41150395371412457
Volkswagen,Golf,0.24391129156808203,Hatchback,0.44272677166710667,0.21844996353229118,Petrol,Automatic,0.02456082604560824
Daewoo,Kalos,-0.7224075052994303,Hatchback,0.3867377430005732,-0.7660461393613198,Petrol,Manual,-0.7792694306199234
Nissan,Almera,-0.7224075052994303,Hatchback,-0.9247169825218333,-0.601963455545718,Petrol,Manual,-0.8843452811644373
Renault,Grand Scenic,0.6580479187970159,Minivan,-0.16810848702813727,-0.601963455545718,Diesel,Manual,-0.20135225262509673
Honda,Clarity,1.348275630845239,Hatchback,-1.4694750992772945,-0.601963455545718,Plug-in Hybrid,Automatic,0.9543770275140121
Toyota,Verso,0.9341390036163051,Minivan,-0.8036596232428419,-0.10971540409891246,Petrol,Automatic,0.324027000097473
BMW,5 Series,-0.5843619628897857,Sedan,-1.803401736735119,1.0388633826103004,Petrol,Manual,-0.3484584433874162
Mitsubishi,Outlander,-0.7224075052994303,Crossover,0.2693827212928643,0.21844996353229118,Petrol,Manual,-0.5060722192041871
